constraint_name                                                |child_schema|child_table                        |child_column                 |parent_schema|parent_table              |parent_column|
language_created_by_id_943d7423_fk                             |public      |language                           |created_by_id                |public       |user                      |id           |
language_updated_by_id_0a4cd7aa_fk                             |public      |language                           |updated_by_id                |public       |user                      |id           |
log_histories_object_type_id_e8a669b6_fk_django_content_type_id|public      |log_histories                      |object_type_id               |public       |django_content_type       |id           |
log_histories_user_id_a09f3c51_fk                              |public      |log_histories                      |user_id                      |public       |user                      |id           |
lokafy_team_member_profile_user_id_96cb76c5_fk                 |public      |lokafy_team_member_profile         |user_id                      |public       |user                      |id           |
lokafyer_city_city_id_47dfd4e9_fk                              |public      |lokafyer_city                      |city_id                      |public       |city                      |id           |
lokafyer_city_created_by_id_17f36ef5_fk                        |public      |lokafyer_city                      |created_by_id                |public       |user                      |id           |
lokafyer_city_lokafyer_id_888905df_fk                          |public      |lokafyer_city                      |lokafyer_id                  |public       |user_profile_lokafyer     |id           |
lokafyer_city_updated_by_id_73c89735_fk                        |public      |lokafyer_city                      |updated_by_id                |public       |user                      |id           |
lokafyer_contact_user_id_45c1bc17_fk                           |public      |lokafyer_contact                   |user_id                      |public       |user_profile_lokafyer     |id           |
lokafyer_feedback_booking_request_id_e6cf4740_fk               |public      |lokafyer_feedback                  |booking_request_id           |public       |booking                   |id           |
lokafyer_feedback_created_by_id_b0f2c439_fk                    |public      |lokafyer_feedback                  |created_by_id                |public       |user                      |id           |
lokafyer_feedback_lokafyer_id_a1437052_fk                      |public      |lokafyer_feedback                  |lokafyer_id                  |public       |user                      |id           |
lokafyer_feedback_updated_by_id_ed99bf95_fk                    |public      |lokafyer_feedback                  |updated_by_id                |public       |user                      |id           |
lokafyer_feedback_image_created_by_id_2ebf91ed_fk              |public      |lokafyer_feedback_image            |created_by_id                |public       |user                      |id           |
lokafyer_feedback_image_lokafyer_feedback_id_463952d1_fk       |public      |lokafyer_feedback_image            |lokafyer_feedback_id         |public       |lokafyer_feedback         |id           |
lokafyer_feedback_image_updated_by_id_5043c1b4_fk              |public      |lokafyer_feedback_image            |updated_by_id                |public       |user                      |id           |
lokafyer_language_language_id_60ac3367_fk                      |public      |lokafyer_language                  |language_id                  |public       |language                  |id           |
lokafyer_payment_det_feedback_id_385b7a3a_fk_lokafyer_         |public      |lokafyer_payment_details           |feedback_id                  |public       |lokafyer_feedback         |id           |
